district_id,district_name,borough_id,borough_name,centroid_lon,centroid_lat
261,Sea Gate,3,Brooklyn,-74.0073987953,40.5772226103
262,Sheepshead Bay,3,Brooklyn,-73.9496106317,40.5960105513
263,Shore Acres,5,Staten Island,-74.0654995171,40.6079514029
264,Silver Lake,5,Staten Island,-74.0965024189,40.624249004
265,SoHo,1,Manhattan,-74.003681189,40.7245630309
266,Soundview,2,Bronx,-73.8715626657,40.8252466307
267,South Beach,5,Staten Island,-74.0854543615,40.5884034096
268,South Brother Island,2,Bronx,-73.8978249645,40.7963416215
269,South Ozone Park,4,Queens,-73.8131975113,40.6713088749
270,South Slope,3,Brooklyn,-73.9851374427,40.6646005741
271,Springfield Gardens,4,Queens,-73.7613767126,40.6676309582
272,Spuyten Duyvil,2,Bronx,-73.9177145715,40.8813507172
273,St. Albans,4,Queens,-73.7632552333,40.6968260182
274,St. George,5,Staten Island,-74.0806493907,40.6426138484
275,Stapleton,5,Staten Island,-74.0776156704,40.6300802799
276,Stuyvesant Town,1,Manhattan,-73.9766465441,40.731870175
277,Sunnyside,4,Queens,-73.9201259479,40.7402052442
278,Sunset Park,3,Brooklyn,-74.0100370548,40.6503084823
279,Theater District,1,Manhattan,-73.9848883422,40.7588555585
280,Throgs Neck,2,Bronx,-73.8194051046,40.8216922833
281,Todt Hill,5,Staten Island,-74.107021219,40.5970918297
282,Tompkinsville,5,Staten Island,-74.0868017618,40.6313720083
283,Tottenville,5,Staten Island,-74.2369731979,40.5085934529
284,Tremont,2,Bronx,-73.893022536,40.8456120438
285,Tribeca,1,Manhattan,-74.0088869063,40.7183484042
286,Two Bridges,1,Manhattan,-73.9969197866,40.7107165986
287,Unionport,2,Bronx,-73.849849059,40.8295810361
288,University Heights,2,Bronx,-73.9100956504,40.8583942979
289,Upper East Side,1,Manhattan,-73.9565259388,40.7727739632
290,Upper West Side,1,Manhattan,-73.9763967928,40.7868030387
291,Van Cortlandt Park,2,Bronx,-73.886587204,40.897100174
292,Van Nest,2,Bronx,-73.8655242244,40.8448652289
293,Vinegar Hill,3,Brooklyn,-73.9827439505,40.7019598174
294,Wakefield,2,Bronx,-73.8520857366,40.8953411352
295,Washington Heights,1,Manhattan,-73.9370046604,40.8459332151
296,West Brighton,5,Staten Island,-74.1106060191,40.6291674996
297,West Farms,2,Bronx,-73.8795040902,40.8413955258
298,West Village,1,Manhattan,-74.0058486485,40.7348391379
299,Westchester Square,2,Bronx,-73.8465974811,40.8403231585
300,Westerleigh,5,Staten Island,-74.1382703305,40.61811164
301,Whitestone,4,Queens,-73.8110268819,40.7866566395
302,Williamsbridge,2,Bronx,-73.8577473337,40.8772104852
303,Williamsburg,4,Brooklyn,-73.9478341718,40.7107398825
304,Willowbrook,5,Staten Island,-74.1404099011,40.6000920039
305,Windsor Terrace,3,Brooklyn,-73.9783105716,40.654320992
306,Woodhaven,4,Queens,-73.8573690297,40.6914758582
307,Woodlawn,2,Bronx,-73.8705183497,40.891962783
308,Woodrow,5,Staten Island,-74.1996843197,40.538900498
309,Woodside,4,Queens,-73.9025777023,40.7479384337
